B97,OLD,NEW,time
-7566.85580862,-283.70490607,-274.9827927,0
-7566.77730337,-283.66825827,-274.92747132,12.5
-7566.74046761,-283.67412882,-274.88639046,25
-7566.73682548,-283.65224317,-274.88287724,37.5
-7566.69653493,-283.63730364,-274.86210383,50
-7566.69300525,-283.63314788,-274.83835447,62.5
-7566.68954391,-283.6644428,-274.83983583,75
-7566.7176879,-283.68651896,-274.84298278,87.5
-7566.69238357,-283.64675884,-274.84103331,100
-7566.67548428,-283.63159378,-274.8413967,112.5
-7566.69763574,-283.63327636,-274.84155055,125
-7566.67474066,-283.66603404,-274.83842759,137.5
-7566.67927636,-283.6755281,-274.84878284,150
-7566.67475023,-283.63296431,-274.85164783,162.5
-7566.67350876,-283.6486916,-274.85058399,175
-7566.67870688,-283.66365094,-274.846806,187.5
-7566.65544719,-283.64482789,-274.85338643,200
-7566.68532994,-283.64874132,-274.84655867,212.5
-7566.68893703,-283.62969616,-274.87555849,225
-7566.68466959,-283.63994812,-274.87725757,237.5
-7566.69146773,-283.65028511,-274.86212566,250
-7566.66928285,-283.67360632,-274.85489097,262.5
-7566.67795016,-283.6568888,-274.8665,275
-7566.67379844,-283.62933994,-274.87975169,287.5
-7566.67371382,-283.63645424,-274.88210762,300
-7566.6763485,-283.64786391,-274.87595373,312.5
-7566.66720901,-283.63678987,-274.85404892,325
-7566.66452479,-283.62658944,-274.86774845,337.5
-7566.67467106,-283.61936533,-274.86977512,350
-7566.69747289,-283.62189701,-274.84481221,362.5
-7566.68269966,-283.6211615,-274.84660749,375
-7566.66484355,-283.63740901,-274.86504823,387.5
-7566.68579306,-283.62674155,-274.87347179,400
-7566.6903981,-283.61579124,-274.87512278,412.5
-7566.67257386,-283.61943853,-274.86989357,425
-7566.68223498,-283.63302149,-274.85863589,437.5
-7566.66006309,-283.64711612,-274.84082153,450
-7566.66800313,-283.63839203,-274.86283126,462.5
-7566.67011595,-283.63648149,-274.86310199,475
-7566.68373095,-283.64875913,-274.8590473,487.5
-7566.67861814,-283.65667984,-274.86681851,500
